GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
job4j_design,ru.job4j.generics,Tiger,3,0,0,0,2,0,1,0,1,0
job4j_design,ru.job4j.generics,Base,9,0,0,0,4,0,2,0,2,0
job4j_design,ru.job4j.generics,UserStore,30,0,0,0,7,0,5,0,5,0
job4j_design,ru.job4j.generics,User,4,0,0,0,2,0,1,0,1,0
job4j_design,ru.job4j.generics,RoleStore,30,0,0,0,7,0,5,0,5,0
job4j_design,ru.job4j.generics,MemStore,60,0,4,0,16,0,7,0,5,0
job4j_design,ru.job4j.generics,Animal,3,0,0,0,2,0,1,0,1,0
job4j_design,ru.job4j.generics,Generics,108,0,6,0,33,0,8,0,5,0
job4j_design,ru.job4j.generics,Predator,3,0,0,0,2,0,1,0,1,0
job4j_design,ru.job4j.it,MatrixIt,0,88,0,10,0,19,0,8,0,3
job4j_design,ru.job4j.it,ArrayIt,0,38,0,4,0,8,0,5,0,3
job4j_design,ru.job4j.it,BackwardArrayIt,0,40,0,4,0,10,0,5,0,3
job4j_design,ru.job4j.it,EvenIt,0,55,0,6,0,14,0,6,0,3
job4j_design,ru.job4j.it,FlatMap,0,39,0,6,0,10,0,6,0,3
job4j_design,ru.job4j,Trigger,0,5,0,0,0,2,0,2,0,2
